Set,Description,Feature #,Data row,beta,t_NW,p_NW,sig_05,sig_001,BH_pass
u3,Price Differences,11,70,-0.013216954192777,-3.2793137579520195,0.0010407730897772276,True,False,True
u6,Price & Volume Derivatives,1,86,0.018467423488559544,11.285238340332928,1.5838772952720928e-29,True,True,True
u6,Price & Volume Derivatives,2,87,0.005929087032752955,8.017538415023157,1.0845047875934537e-15,True,True,True
u6,Price & Volume Derivatives,3,88,0.022053938227366076,10.83528799780276,2.3828828384915773e-27,True,True,True
u6,Price & Volume Derivatives,5,90,0.010358288979440257,4.737577378301721,2.164337023537919e-06,True,True,True
u6,Price & Volume Derivatives,6,91,0.003190934308868581,6.621797082392541,3.557337237124816e-11,True,True,True
u6,Price & Volume Derivatives,7,92,0.01648304880223524,7.242243000438305,4.4287236156699753e-13,True,True,True
u6,Price & Volume Derivatives,10,95,0.0024688778693347656,7.1728124408969,7.372064183322171e-13,True,True,True
u6,Price & Volume Derivatives,11,96,0.010759885078325053,4.609600155478955,4.036883322744725e-06,True,True,True
u6,Price & Volume Derivatives,15,100,0.009151638438897387,5.949564210906949,2.692940005017632e-09,True,True,True
u6,Price & Volume Derivatives,17,102,0.003740806527596009,3.934935971266199,8.324645262789362e-05,True,True,True
u6,Price & Volume Derivatives,19,104,0.007153433777423886,6.373906331646915,1.8466482331422987e-10,True,True,True
u6,Price & Volume Derivatives,23,108,0.005318725315021792,6.540626255896494,6.140580939936921e-11,True,True,True
u6,Price & Volume Derivatives,27,112,0.004032007321139012,6.45389643539879,1.0925360308499216e-10,True,True,True
u6,Price & Volume Derivatives,28,113,0.0011292465493269357,2.742033763497028,0.006106539190721374,True,False,True
u6,Price & Volume Derivatives,29,114,0.0016226108543177776,3.030683111741537,0.0024403178342592606,True,False,True
u6,Price & Volume Derivatives,31,116,0.0032508037517080157,6.454896630611817,1.0853462227256709e-10,True,True,True
u6,Price & Volume Derivatives,33,118,0.0012174998426256673,3.2086243623486004,0.00133392238574614,True,False,True
u6,Price & Volume Derivatives,35,120,0.0029288545406487908,6.039472204457192,1.548853836655316e-09,True,True,True
u6,Price & Volume Derivatives,38,123,0.0004362166270808978,2.7327834205406036,0.0062807026142993345,True,False,True
u6,Price & Volume Derivatives,39,124,0.0025106201934523772,5.0241793243704285,5.06015994399189e-07,True,True,True
