Set,Feature #,Data row,Sig ratio,Mean |t_NW|,Mono rho,Mono p,Mono sig,IC mean,IC std,IC IR
u3,11,70,0.757,4.099,-0.5,0.6666666666666667,False,-0.09432501891751648,0.05100163048846202,-1.8494510472337822
u6,1,86,0.892,9.222,0.7999999999999999,0.20000000000000007,False,0.21763199364826397,0.016845897756182504,12.918990533964998
u6,2,87,0.784,3.73,0.19999999999999998,0.5795840000000001,False,-0.008443078025111721,0.016164426088136633,-0.5223246392464407
u6,3,88,0.892,9.197,0.7999999999999999,0.20000000000000007,False,0.22155386664920926,0.014294070021176665,15.499704865092811
u6,5,90,0.784,8.101,0.7999999999999999,0.20000000000000007,False,0.20433660622058883,0.029041008779345467,7.03614009324349
u6,6,91,0.595,2.756,-0.38333333333333336,0.30849527238037144,False,-0.008168938975356895,0.014229161202202417,-0.5740984207904322
u6,7,92,0.865,9.126,0.7999999999999999,0.20000000000000007,False,0.21064103107574647,0.024522450917728443,8.589721793406225
u6,8,93,0.811,3.491,-0.016666666666666666,0.9660548039946861,False,0.009475261034272339,0.015017031689460794,0.6309676392920072
u6,10,95,0.73,2.495,-0.20000000000000004,0.5554454421055854,False,-0.01943268170480738,0.01651406006193803,-1.1767355593913729
u6,11,96,0.757,8.669,0.7999999999999999,0.20000000000000007,False,0.20447703105926104,0.03275942389953735,6.241777379429093
u6,15,100,0.757,8.575,0.5428571428571429,0.26570262390670557,False,0.1989007372896984,0.03841779411183677,5.17730759633635
u6,17,102,0.811,6.694,0.7142857142857143,0.1107871720116617,False,0.18814092646245748,0.045240888448220246,4.158647915984038
u6,19,104,0.73,7.824,0.5428571428571429,0.26570262390670557,False,0.19326571109273216,0.04389942112240314,4.402466049697022
u6,23,108,0.73,7.657,0.5428571428571429,0.26570262390670557,False,0.18637880920797223,0.04656744791731349,4.002341067496588
u6,27,112,0.73,7.437,0.5428571428571429,0.26570262390670557,False,0.18149757373269837,0.04963529556352073,3.656623208789539
u6,29,114,0.73,5.081,0.7714285714285715,0.07239650145772594,False,0.1727791074874437,0.04877922621358073,3.542063310535662
u6,31,116,0.757,7.587,0.5428571428571429,0.26570262390670557,False,0.17772657494883776,0.05024576273551531,3.5371455277603925
u6,33,118,0.865,6.104,0.7714285714285715,0.07239650145772594,False,0.16897149771797207,0.048073944054513054,3.5148249439731476
u6,35,120,0.757,7.115,0.5428571428571429,0.26570262390670557,False,0.17512424228385326,0.05110259236525193,3.4269150385202756
u6,37,122,0.784,5.204,0.7142857142857144,0.07134356146753759,False,0.1659187833596688,0.04777551500073469,3.472883198791626
u6,39,124,0.676,6.371,0.4285714285714286,0.3965014577259474,False,0.17176574243291787,0.0514888081941989,3.3359820989655424
